Designator,Mid X,Mid Y,Rotation,Layer
BT1,70.5,-85.5,0.0,top
D1,86.495,-91.0,0.0,top
M1,86.23,-97.0,270.0,top
R1,85.5,-70.73,0.0,top
R2,86.5,-81.19,270.0,top
R3,70.77,-70.5,90.0,top
